time,E_fixed,E_si,E_si_alb
1982-01-01,30.496075602848283,0.0,0.0
1982-02-01,25.751054355027016,0.0,0.0
1982-03-01,35.52228245911768,0.0,0.0
1982-04-01,43.18319978882128,0.0,0.0
1982-05-01,57.13112058437239,0.0,29.535367590861195
1982-06-01,64.09048444288804,34.83452141548355,64.26160083500085
1982-07-01,60.63524223195178,20.252391352807443,56.6355032254808
1982-08-01,53.56877930482262,0.0,37.34139649955906
1982-09-01,46.21856181888095,0.0,17.073684107623222
1982-10-01,38.43997579224116,0.0,1.3182988911658422
1982-11-01,34.05627824022525,0.0,0.0
1982-12-01,32.693608954545425,0.0,0.0
